Project,sha,class_,method
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestLiteWorkflowAppService,testSchema
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestLiteWorkflowAppService,testService
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testEvictionOnTimeToIdle
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMaxElementsInMemory
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMemoryUsageAndSpeed
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testMemoryUsageAndSpeedOverflowToDisk
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerEhcache,testPartitionDependency
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerService,testMemoryUsageAndSpeed
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestPartitionDependencyManagerService,testPartitionDependency
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testInvalidGroup
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testInvalidHost
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testInvalidProxyUser
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testNullHost
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testNullProxyUser
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testService
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testUnknownHost
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testValidateAnyHostAnyUser
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testValidateGroup
oozie,264ec14b7e1551ef0147f6072ec068d860cbf2c5,org.apache.oozie.service.TestProxyUserService,testValidateHost
