Project,sha,class_,method,Found
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMissingClassesPerformsAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithNoMissingClassesDoesNotPerformAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,basicAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,fullyCustomized,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,nonTransitiveAdd,2
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getGroupIdForBootArtifact,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getGroupIdFound,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getGroupIdNotFound,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getVersionForBootArtifact,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getVersionFound,1
spring-boot,9af079721f0f82d6209750bc714494c7615fd59b,org.springframework.boot.cli.compiler.dependencies.ManagedDependenciesArtifactCoordinatesResolverTests,getVersionNotFound,1
spring-boot,9dec27e7bf921a0d5ad3b1d64486a4bff92c1df0,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,9dec27e7bf921a0d5ad3b1d64486a4bff92c1df0,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,9dec27e7bf921a0d5ad3b1d64486a4bff92c1df0,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.ClassLoaderIntegrationTests,runWithIsolatedClassLoader,2
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.SampleIntegrationTests,appSample,1
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.SampleIntegrationTests,integrationSample,2
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.SampleIntegrationTests,jobSample,2
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.SampleIntegrationTests,reactorSample,1
spring-boot,a1a643ca245c8b1063af329807254bb9ae691964,org.springframework.boot.cli.SampleIntegrationTests,txSample,2
spring-boot,a3d4e92d9f2c12911b7e1156fcef4789af31ee15,org.springframework.boot.cli.command.CommandRunnerIntegrationTests,debugAddsAutoconfigReport,1
spring-boot,a3d4e92d9f2c12911b7e1156fcef4789af31ee15,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,a3d4e92d9f2c12911b7e1156fcef4789af31ee15,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,a3d4e92d9f2c12911b7e1156fcef4789af31ee15,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,a7e1ec842d263301f32eb1195d1936d436c1db13,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,a7e1ec842d263301f32eb1195d1936d436c1db13,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,a7e1ec842d263301f32eb1195d1936d436c1db13,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,a973fd41f48fc395692ef34d224065c260cc2e58,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.SampleIntegrationTests,caching,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.SampleIntegrationTests,jmsSample,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.SampleIntegrationTests,templateSample,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.SampleIntegrationTests,xmlSample,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMissingClassesPerformsAdd,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,anyMissingClassesWithMixtureOfClassesPerformsAdd,2
spring-boot,b6bacd5e8a6d19c800f6dd88249ada91d8da127b,org.springframework.boot.cli.compiler.DependencyCustomizerTests,basicAdd,2
spring-boot,cbd3c39640a201fb816b035537432ec4eaacbda1,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,d039f4310773d0abf7acb70eaed58ecd0df7659b,org.springframework.boot.cli.ClassLoaderIntegrationTests,runWithIsolatedClassLoader,2
spring-boot,d039f4310773d0abf7acb70eaed58ecd0df7659b,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectory,2
spring-boot,d039f4310773d0abf7acb70eaed58ecd0df7659b,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runDirectoryRecursive,2
spring-boot,d039f4310773d0abf7acb70eaed58ecd0df7659b,org.springframework.boot.cli.DirectorySourcesIntegrationTests,runPathPattern,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,defaults,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,excludedDeltas,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,excludedWins,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,includedDeltas,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,includedDeltasAndNewEntries,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,jarFileAlwaysMatches,2
spring-boot,d040bb72d374776ba3f753078dca833c6c380fd5,org.springframework.boot.cli.command.jar.ResourceMatcherTests,resourceMatching,2
spring-boot,d097c9a2f96a754ea1a9b4a18ad1651782664dbb,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,d2c50813fdf848352b626e52115da26e8aacf123,org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfigurationTests,testNamingStrategyThatWorkedInOneDotOhContinuesToWork,1
spring-boot,d6f2f0deee0c5bc36a9eed4fc247055a826c009d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,d6f2f0deee0c5bc36a9eed4fc247055a826c009d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,d6f2f0deee0c5bc36a9eed4fc247055a826c009d,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,dba4ad0768c806e0e97293cf3658d29a36e56aee,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolution,2
spring-boot,dba4ad0768c806e0e97293cf3658d29a36e56aee,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithCustomClassLoader,2
spring-boot,dba4ad0768c806e0e97293cf3658d29a36e56aee,org.springframework.boot.cli.compiler.grape.AetherGrapeEngineTests,dependencyResolutionWithExclusions,2
spring-boot,e02dbbc16dcc12a2c28ccdff54885b5bbc80e91f,org.springframework.boot.cli.SampleIntegrationTests,jmsSample,2
spring-boot,e02dbbc16dcc12a2c28ccdff54885b5bbc80e91f,org.springframework.boot.cli.SampleIntegrationTests,jobSample,2
