Project,sha,class_,method,Found
ninja,83affc3b5636f8d3ea61f48590d1e12266baee3b,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,852f7ed70a7a07375cb6687a64de3d2a9110fae7,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,867f19935c72ca03422abed3d95c891f2fe6397e,controllers.ApplicationControllerTest,testThatHomepageWorks,3
ninja,881f56c4e465270065cbaf670d80184cdb9837ec,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,3
ninja,881f56c4e465270065cbaf670d80184cdb9837ec,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,1
ninja,881f56c4e465270065cbaf670d80184cdb9837ec,controllers.ApiControllerTest,testGetAndPostArticleViaJson,3
ninja,881f56c4e465270065cbaf670d80184cdb9837ec,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
ninja,8aa26b12e33b2322188841665b8835d03868dded,controllers.ApiControllerTest,testGetAndPostArticleViaXml,3
ninja,924ef7c3d69b7aabbcc369b54f0cbabe95802b64,controllers.ApiControllerTest,testGetAndPostArticleViaXml,2
ninja,929b490e3e430337fa25917f3d36356936785f89,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,93e998c748301d157824a84565448cf9af2f2b73,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,9bf9bf00907c719753c30705cf840421024aff18,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,a5f676de0117bc4b9310ae6fac57675660d0e1d8,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,a9f3c7b76e3edc6ebabb839dd05fc78886ef62dd,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,acbde2c1a713f77a731831b5c7c45c51a6a6a22e,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,bfeceb6178ce18a0ed3bebeaaea97ef35fb5577d,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,c267f238f4b33e87b6a5cdb77351817d6d3f1eef,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,c39f2a42786fd6624573a97e9446f81dc912d761,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,c50afd46270018fe3037d0e4f3cd7d2bcc1297d6,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,c66c04055e7a8089c44cc784440e10d9d5a1739e,controllers.ApiControllerDocTest,testGetAndPostArticleViaJson,3
ninja,c66c04055e7a8089c44cc784440e10d9d5a1739e,controllers.ApiControllerTest,testGetAndPostArticleViaJson,3
ninja,c66c04055e7a8089c44cc784440e10d9d5a1739e,controllers.ApiControllerTest,testGetAndPostArticleViaXml,3
ninja,c66c04055e7a8089c44cc784440e10d9d5a1739e,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
ninja,c81121738c421b503131b248bf7a1322dd3fc61a,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,cc220e0107bdf05c3ddf8bf09eccc531859343d1,controllers.ApplicationControllerTest,testThatHomepageWorks,2
ninja,cd3d47efde27a32f791d1ee41a23a7feaf39e7af,controllers.ApiControllerDocTesterTest,testGetAndPostArticleViaJson,1
ninja,cd3d47efde27a32f791d1ee41a23a7feaf39e7af,controllers.ApiControllerTest,testGetAndPostArticleViaJson,3
ninja,cd3d47efde27a32f791d1ee41a23a7feaf39e7af,controllers.ApiControllerTest,testGetAndPostArticleViaXml,3
ninja,cd3d47efde27a32f791d1ee41a23a7feaf39e7af,controllers.ApplicationControllerTest,testThatSetupInitializationCreatesTheTestUsers,1
